Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"K_DOT1",".","CherryMX_PlateMount_HotSwap_1u",72.594000,-137.960000,0.000000,top
"K_EIGHT1","8","CherryMX_PlateMount_HotSwap_1u",53.544000,-80.810000,0.000000,top
"K_ENTER1","ENTER","CherryMX_PlateMount_HotSwap_2u_90deg",91.644000,-128.435000,90.000000,top
"K_FIVE1","5","CherryMX_PlateMount_HotSwap_1u",53.544000,-99.860000,0.000000,top
"K_FOUR1","4","CherryMX_PlateMount_HotSwap_1u",34.494000,-99.860000,0.000000,top
"K_MINUS1","-","CherryMX_PlateMount_HotSwap_1u",91.644000,-61.760000,0.000000,top
"K_NINE1","9","CherryMX_PlateMount_HotSwap_1u",72.594000,-80.810000,0.000000,top
"K_NUMPAD1","NUMPAD","CherryMX_PlateMount_HotSwap_1u",34.494000,-61.760000,0.000000,top
"K_ONE1","1","CherryMX_PlateMount_HotSwap_1u",34.494000,-118.910000,0.000000,top
"K_PLUS1","+","CherryMX_PlateMount_HotSwap_2u_90deg",91.644000,-90.335000,90.000000,top
"K_SEVEN1","7","CherryMX_PlateMount_HotSwap_1u",34.494000,-80.810000,0.000000,top
"K_SIX1","6","CherryMX_PlateMount_HotSwap_1u",72.594000,-99.860000,0.000000,top
"K_SLASH1","/","CherryMX_PlateMount_HotSwap_1u",53.544000,-61.760000,0.000000,top
"K_STAR1","*","CherryMX_PlateMount_HotSwap_1u",72.594000,-61.760000,0.000000,top
"K_THREE1","3","CherryMX_PlateMount_HotSwap_1u",72.594000,-118.910000,0.000000,top
"K_TWO1","2","CherryMX_PlateMount_HotSwap_1u",53.544000,-118.910000,0.000000,top
"K_ZERO1","0","CherryMX_PlateMount_HotSwap_2u",44.019000,-137.960000,0.000000,top
