"Designator","Mid X","Mid Y","Rotation","Layer"
"C1",51.600328,-91.186000,180.000000,top
"C2",51.600328,-89.916000,180.000000,top
"C5",37.084000,-34.798000,0.000000,top
"D1",34.494000,-56.695000,0.000000,top
"D3",34.494000,-94.795000,0.000000,top
"D4",34.494000,-113.845000,0.000000,top
"D5",44.019000,-132.895000,0.000000,top
"D6",53.544000,-56.695000,0.000000,top
"D7",53.544000,-75.745000,0.000000,top
"D8",53.544000,-94.795000,0.000000,top
"D9",53.544000,-113.845000,0.000000,top
"D10",72.594000,-56.695000,0.000000,top
"D11",72.594000,-75.745000,0.000000,top
"D12",72.594000,-94.795000,0.000000,top
"D13",72.594000,-113.845000,0.000000,top
"D14",72.594000,-132.895000,0.000000,top
"D15",91.644000,-56.695000,0.000000,top
"D16",91.644000,-85.270000,0.000000,top
"D17",91.644000,-123.370000,0.000000,top
"D18",26.089000,-61.760000,-90.000000,top
"D19",26.089000,-80.810000,-90.000000,top
"D20",26.089000,-99.860000,-90.000000,top
"D21",26.089000,-118.910000,-90.000000,top
"D22",35.614000,-137.960000,-90.000000,top
"D23",45.139000,-61.760000,-90.000000,top
"D24",45.139000,-80.810000,-90.000000,top
"D25",45.139000,-99.860000,-90.000000,top
"D26",45.139000,-118.910000,-90.000000,top
"D27",64.189000,-61.760000,-90.000000,top
"D28",64.189000,-80.810000,-90.000000,top
"D29",64.189000,-99.860000,-90.000000,top
"D30",64.189000,-118.910000,-90.000000,top
"D31",64.189000,-137.960000,-90.000000,top
"D32",83.239000,-61.760000,-90.000000,top
"D33",83.239000,-90.335000,-90.000000,top
"D34",83.239000,-128.435000,-90.000000,top
"De",34.494000,-75.745000,0.000000,top
"J1",100.320000,-35.894000,180.000000,top
"J2",41.926000,-35.894000,180.000000,top
"R1",37.084000,-33.528000,180.000000,top
"R2",48.514000,-88.900000,180.000000,top
"R3",67.818000,-106.934000,180.000000,top
"R4",37.084000,-28.956000,0.000000,top
"R5",37.084000,-30.226000,0.000000,top
"R6",37.084000,-31.496000,180.000000,top
"U1",31.514000,-35.963000,-90.000000,top
"U2",43.942000,-90.424000,0.000000,top
"U3",63.119000,-109.347000,0.000000,top
