"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description / Value","LCSC","Manufacturer","Mfg Part #","Mfg part #","Package/Footprint","Type","Your Instructions / Notes"
"1","1","C1","C 1uF","vakeyboard:C 1uF","Footprints:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1811091611_Samsung-Electro-Mechanics-CL05A105KA5NQNC_C52923.pdf","25V 1uF X5R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C52923","Samsung Electro-Mechanics","CL05A105KA5NQNC","","0402","SMD",""
"2","1","C2","C_100nF","vakeyboard:C_100nF","Footprints:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/1810191219_Samsung-Electro-Mechanics-CL05B104KO5NNNC_C1525.pdf","16V 100nF X7R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C1525","Samsung Electro-Mechanics","CL05B104KO5NNNC","","0402","SMD",""
"3","1","C5","C_47nF","vakeyboard:C_47nF","Footprints:C_0402_1005Metric","https://datasheet.lcsc.com/lcsc/2003312232_YAGEO-CC0402KRX5R9BB473_C505502.pdf","50V 47nF X5R ±10% 0402  Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS","C505502","YAGEO","CC0402KRX5R9BB473","","0402","SMD",""
"4","1","D1","LED_NUMPAD","vakeyboard:LED","Footprints:19-237","https://datasheet.lcsc.com/szlcsc/2010222107_Everlight-Elec-19-237-R6GHBHC-A04-2T_C883183.pdf","5mA Colorless transparence -40℃~+85℃ Common anode RGB 120° -  Light Emitting Diodes (LED) ROHS","C883183","Everlight Elec","19-237/R6GHBHC-A04/2T","","19-237","SMD",""
"5","1","D2","LED_7","vakeyboard:LED","Footprints:19-237","https://datasheet.lcsc.com/szlcsc/2010222107_Everlight-Elec-19-237-R6GHBHC-A04-2T_C883183.pdf","5mA Colorless transparence -40℃~+85℃ Common anode RGB 120° -  Light Emitting Diodes (LED) ROHS","C883183","Everlight Elec","19-237/R6GHBHC-A04/2T","","19-237","SMD",""
"6","1","D3","LED_4","vakeyboard:LED","Footprints:19-237","https://datasheet.lcsc.com/szlcsc/2010222107_Everlight-Elec-19-237-R6GHBHC-A04-2T_C883183.pdf","5mA Colorless transparence -40℃~+85℃ Common anode RGB 120° -  Light Emitting Diodes (LED) ROHS","C883183","Everlight Elec","19-237/R6GHBHC-A04/2T","","19-237","SMD",""
"7","1","D4","LED_1","vakeyboard:LED","Footprints:19-237","https://datasheet.lcsc.com/szlcsc/2010222107_Everlight-Elec-19-237-R6GHBHC-A04-2T_C883183.pdf","5mA Colorless transparence -40℃~+85℃ Common anode RGB 120° -  Light Emitting Diodes (LED) ROHS","C883183","Everlight Elec","19-237/R6GHBHC-A04/2T","","19-237","SMD",""
"8","1","D5","LED_0","vakeyboard:LED","Footprints:19-237","https://datasheet.lcsc.com/szlcsc/2010222107_Everlight-Elec-19-237-R6GHBHC-A04-2T_C883183.pdf","5mA Colorless transparence -40℃~+85℃ Common anode RGB 120° -  Light Emitting Diodes (LED) ROHS","C883183","Everlight Elec","19-237/R6GHBHC-A04/2T","","19-237","SMD",""
"9","1","D6","LED_SLASH","vakeyboard:LED","Footprints:19-237","https://datasheet.lcsc.com/szlcsc/2010222107_Everlight-Elec-19-237-R6GHBHC-A04-2T_C883183.pdf","5mA Colorless transparence -40℃~+85℃ Common anode RGB 120° -  Light Emitting Diodes (LED) ROHS","C883183","Everlight Elec","19-237/R6GHBHC-A04/2T","","19-237","SMD",""
"10","1","D7","LED_8","vakeyboard:LED","Footprints:19-237","https://datasheet.lcsc.com/szlcsc/2010222107_Everlight-Elec-19-237-R6GHBHC-A04-2T_C883183.pdf","5mA Colorless transparence -40℃~+85℃ Common anode RGB 120° -  Light Emitting Diodes (LED) ROHS","C883183","Everlight Elec","19-237/R6GHBHC-A04/2T","","19-237","SMD",""
"11","1","D8","LED_5","vakeyboard:LED","Footprints:19-237","https://datasheet.lcsc.com/szlcsc/2010222107_Everlight-Elec-19-237-R6GHBHC-A04-2T_C883183.pdf","5mA Colorless transparence -40℃~+85℃ Common anode RGB 120° -  Light Emitting Diodes (LED) ROHS","C883183","Everlight Elec","19-237/R6GHBHC-A04/2T","","19-237","SMD",""
"12","1","D9","LED_2","vakeyboard:LED","Footprints:19-237","https://datasheet.lcsc.com/szlcsc/2010222107_Everlight-Elec-19-237-R6GHBHC-A04-2T_C883183.pdf","5mA Colorless transparence -40℃~+85℃ Common anode RGB 120° -  Light Emitting Diodes (LED) ROHS","C883183","Everlight Elec","19-237/R6GHBHC-A04/2T","","19-237","SMD",""
"13","1","D10","LED_STAR","vakeyboard:LED","Footprints:19-237","https://datasheet.lcsc.com/szlcsc/2010222107_Everlight-Elec-19-237-R6GHBHC-A04-2T_C883183.pdf","5mA Colorless transparence -40℃~+85℃ Common anode RGB 120° -  Light Emitting Diodes (LED) ROHS","C883183","Everlight Elec","19-237/R6GHBHC-A04/2T","","19-237","SMD",""
