Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","C 1uF","C_0402_1005Metric",42.057000,-110.511000,-90.000000,top
"C2","C_100nF","C_0402_1005Metric",118.110000,-110.490000,-90.000000,top
"C3","C 1uF","C_0402_1005Metric",166.370000,-110.490000,-90.000000,top
"C4","C_100nF","C_0402_1005Metric",252.730000,-110.490000,-90.000000,top
"C5","C_47nF","C_0402_1005Metric",126.639000,-205.126000,0.000000,top
"C8","C_100nF","C_0402_1005Metric",43.180000,-110.490000,-90.000000,top
"C10","C_100nF","C_0402_1005Metric",119.380000,-110.490000,-90.000000,top
"C11","C 1uF","C_0402_1005Metric",187.345000,-194.966000,180.000000,top
"C13","C_100nF","C_0402_1005Metric",290.830000,-110.490000,-90.000000,top
"C14","C 1uF","C_0402_1005Metric",203.200000,-110.490000,-90.000000,top
"C15","C_100nF","C_0402_1005Metric",371.650000,-110.630000,-90.000000,top
"C16","C 1uF","C_0402_1005Metric",289.560000,-110.490000,-90.000000,top
"C17","C_100nF","C_0402_1005Metric",334.010000,-110.490000,-90.000000,top
"C19","C_100nF","C_0402_1005Metric",204.470000,-110.490000,-90.000000,top
"C20","C 1uF","C_0402_1005Metric",370.380000,-110.630000,-90.000000,top
"C21","C_100nF","C_0402_1005Metric",81.280000,-110.490000,-90.000000,top
"D_'1","D","D_SOD-523",252.359000,-162.005000,-90.000000,top
"D_.1","D","D_SOD-523",223.774000,-181.055000,-90.000000,top
"D_/1","D","D_SOD-523",242.824000,-181.055000,-90.000000,top
"D_1","D","D_SOD-523",47.874000,-123.905000,-90.000000,top
"D_2","D","D_SOD-523",66.924000,-123.905000,-90.000000,top
"D_3","D","D_SOD-523",85.974000,-123.905000,-90.000000,top
"D_4","D","D_SOD-523",105.024000,-123.905000,-90.000000,top
"D_5","D","D_SOD-523",124.074000,-123.905000,-90.000000,top
"D_6","D","D_SOD-523",143.124000,-123.905000,-90.000000,top
"D_7","D","D_SOD-523",162.174000,-123.905000,-90.000000,top
"D_8","D","D_SOD-523",181.224000,-123.905000,-90.000000,top
"D_9","D","D_SOD-523",200.274000,-123.905000,-90.000000,top
"D_10","D","D_SOD-523",219.324000,-123.905000,-90.000000,top
"D_;1","D","D_SOD-523",233.309000,-162.005000,-90.000000,top
"D_A1","D","D_SOD-523",61.859000,-162.005000,-90.000000,top
"D_B1","D","D_SOD-523",147.574000,-181.055000,-90.000000,top
"D_BCKSP1","D","D_SOD-523",275.209000,-123.905000,-90.000000,top
"D_C1","D","D_SOD-523",109.474000,-181.055000,-90.000000,top
"D_CAPSL1","D","D_SOD-523",35.819000,-162.005000,-90.000000,top
"D_Coma1","D","D_SOD-523",204.724000,-181.055000,-90.000000,top
"D_D1","D","D_SOD-523",99.959000,-162.005000,-90.000000,top
"D_DEL1","D","D_SOD-523",319.019000,-142.955000,-90.000000,top
"D_DOWN1","D","D_SOD-523",338.069000,-200.453000,-90.000000,top
"D_E1","D","D_SOD-523",95.509000,-142.955000,-90.000000,top
"D_END1","D","D_SOD-523",338.069000,-142.955000,-90.000000,top
"D_ENTER1","D","D_SOD-523",272.288000,-162.005000,-90.000000,top
"D_EQUAL1","D","D_SOD-523",257.424000,-123.905000,-90.000000,top
"D_ESC1","D","D_SOD-523",28.824000,-95.330000,-90.000000,top
"D_F1","D","D_SOD-523",66.919000,-95.330000,-90.000000,top
"D_F2","D","D_SOD-523",85.974000,-95.330000,-90.000000,top
"D_F3","D","D_SOD-523",105.024000,-95.330000,-90.000000,top
"D_F4","D","D_SOD-523",124.074000,-95.330000,-90.000000,top
"D_F5","D","D_SOD-523",152.659000,-95.330000,-90.000000,top
"D_F6","D","D_SOD-523",171.684000,-95.330000,-90.000000,top
"D_F7","D","D_SOD-523",190.734000,-95.330000,-90.000000,top
"D_F8","D","D_SOD-523",209.784000,-95.330000,-90.000000,top
"D_F9","D","D_SOD-523",238.394000,-95.330000,-90.000000,top
"D_F10","D","D_SOD-523",257.439000,-95.330000,-90.000000,top
"D_F11","D","D_SOD-523",276.489000,-95.330000,-90.000000,top
"D_F12","D","D_SOD-523",295.539000,-95.330000,-90.000000,top
"D_FN1","D","D_SOD-523",268.864000,-200.453000,-90.000000,top
"D_F_1","D","D_SOD-523",119.009000,-162.005000,-90.000000,top
"D_G1","D","D_SOD-523",138.059000,-162.005000,-90.000000,top
"D_H1","D","D_SOD-523",157.109000,-162.005000,-90.000000,top
"D_HOME1","D","D_SOD-523",338.069000,-123.905000,-90.000000,top
"D_I1","D","D_SOD-523",190.759000,-142.955000,-90.000000,top
"D_INS1","D","D_SOD-523",319.019000,-123.905000,-90.000000,top
"D_J1","D","D_SOD-523",176.159000,-162.005000,-90.000000,top
"D_K1","D","D_SOD-523",195.209000,-162.005000,-90.000000,top
"D_L1","D","D_SOD-523",214.259000,-162.005000,-90.000000,top
"D_LALT1","D","D_SOD-523",54.869000,-200.105000,-90.000000,top
"D_LCTRL1","D","D_SOD-523",31.374000,-200.105000,-90.000000,top
"D_LEFT1","D","D_SOD-523",319.019000,-200.453000,-90.000000,top
"D_LSHIFT1","D","D_SOD-523",31.877000,-181.102000,-90.000000,top
"D_LWIN1","D","D_SOD-523",78.999000,-200.105000,-90.000000,top
"D_M1","D","D_SOD-523",185.674000,-181.055000,-90.000000,top
"D_MINUS1","D","D_SOD-523",238.374000,-123.905000,-90.000000,top
"D_N1","D","D_SOD-523",166.624000,-181.055000,-90.000000,top
"D_O1","D","D_SOD-523",209.809000,-142.955000,-90.000000,top
"D_P1","D","D_SOD-523",228.859000,-142.955000,-90.000000,top
"D_PAUSE1","D","D_SOD-523",357.119000,-95.330000,-90.000000,top
