"Comment","Designator","Footprint","LCSC"
"C 1uF","C1, C3, C11, C14, C16, C20","Footprints:C_0402_1005Metric","C52923"
"C_100nF","C2, C4, C8, C10, C13, C15, C17, C19, C21","Footprints:C_0402_1005Metric","C1525"
"C_47nF","C5","Footprints:C_0402_1005Metric","C505502"
"D","D_1, D_2, D_3, D_4, D_5, D_6, D_7, D_8, D_9, D_10, D_'1, D_.1, D_/1, D_;1, D_[1, D_\1, D_]1, D_A1, D_B1, D_BCKSP1, D_C1, D_CAPSL1, D_Coma1, D_D1, D_DEL1, D_DOWN1, D_E1, D_END1, D_ENTER1, D_EQUAL1, D_ESC1, D_F1, D_F2, D_F3, D_F4, D_F5, D_F6, D_F7, D_F8, D_F9, D_F10, D_F11, D_F12, D_F_1, D_FN1, D_G1, D_H1, D_HOME1, D_I1, D_INS1, D_J1, D_K1, D_L1, D_LALT1, D_LCTRL1, D_LEFT1, D_LSHIFT1, D_LWIN1, D_M1, D_MINUS1, D_N1, D_O1, D_P1, D_PAUSE1, D_PGDOWN1, D_PGUP1, D_PRNT1, D_Q1, D_R1, D_RALT1, D_RCTRL1, D_RIGHT1, D_RSHIFT1, D_RWIN1, D_S1, D_SCRL1, D_SPACE1, D_T1, D_TAB1, D_TILDA1, D_U1, D_UP1, D_V1, D_W1, D_X1, D_Y1, D_Z1","Diode_SMD:D_SOD-523","C414017"
"Conn_01x04","J1","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","N/A"
"Conn_01x04","J2","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical","N/A"
"KEYSW","K_0, K_1, K_2, K_3, K_4, K_5, K_6, K_7, K_8, K_9, K_'1, K_.1, K_/1, K_;1, K_[1, K_\1, K_]1, K_A1, K_B1, K_BCKSP1, K_C1, K_CAPSL1, K_COMA1, K_D1, K_DEL1, K_DOWN1, K_E1, K_END1, K_ENTER1, K_EQUAL1, K_ESC1, K_F1, K_F2, K_F3, K_F4, K_F5, K_F6, K_F7, K_F8, K_F9, K_F10, K_F11, K_F12, K_F_1, K_FN1, K_G1, K_H1, K_HOME1, K_I1, K_INS1, K_J1, K_K1, K_L1, K_LALT1, K_LCTRL1, K_LEFT1, K_LSHIFT1, K_LWIN1, K_M1, K_MINUS1, K_N1, K_O1, K_P1, K_PAUSE1, K_PGDOWN1, K_PGUP1, K_PRNT1, K_Q1, K_R1, K_RALT1, K_RCTRL1, K_RIGHT1, K_RSHIFT1, K_RWIN1, K_S1, K_SCRL1, K_SPACE1, K_T1, K_TAB1, K_TILDA1, K_U1, K_UP1, K_V1, K_W1, K_X1, K_Y1, K_Z1","Footprints:CherryMX_PlateMount_HotSwap_1u","C2803348"
"R 10 kOhm","R1, R3, R4, R5, R6, R7, R8, R9, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20","Footprints:R_0402_1005Metric","C25744"
"R_39_kOhm","R2","Footprints:R_0402_1005Metric","C25783"
"LED","RGB_'1, RGB_.1, RGB_/1, RGB_;1, RGB_[1, RGB_\1, RGB_]1, RGB_A1, RGB_B1, RGB_BCKSP1, RGB_C1, RGB_CAPSL1, RGB_COMA1, RGB_D1, RGB_DEL1, RGB_DOWN1, RGB_E1, RGB_EIGHT1, RGB_END1, RGB_ENTER1, RGB_EQUAL1, RGB_ESC1, RGB_F1, RGB_F2, RGB_F3, RGB_F4, RGB_F5, RGB_F6, RGB_F7, RGB_F8, RGB_F9, RGB_F10, RGB_F11, RGB_F12, RGB_F13, RGB_FIVE1, RGB_FN1, RGB_FOUR1, RGB_G1, RGB_H1, RGB_HOME1, RGB_I1, RGB_INS1, RGB_J1, RGB_K1, RGB_L1, RGB_LALT1, RGB_LCTRL1, RGB_LEFT1, RGB_LSHIFT1, RGB_LWIN1, RGB_M1, RGB_MINUS1, RGB_N1, RGB_NINE1, RGB_O1, RGB_ONE1, RGB_P1, RGB_PAUSE1, RGB_PGDOWN1, RGB_PGUP1, RGB_PRNT1, RGB_Q1, RGB_R1, RGB_RALT1, RGB_RCTRL1, RGB_RIGHT1, RGB_RSHIFT1, RGB_RWIN1, RGB_S1, RGB_SCRL1, RGB_SEVEN1, RGB_SIX1, RGB_SPACE1, RGB_T1, RGB_TAB1, RGB_THREE1, RGB_TILDA1, RGB_TWO1, RGB_U1, RGB_UP1, RGB_V1, RGB_W1, RGB_X1, RGB_Y1, RGB_Z1, RGB_ZERO1","Footprints:19-237","C883183"
"MAX7301ATL+","U1","QFN50P600X600X80-41N","C1522600"
"IS31FL3743-QF","U3","Footprints:QFN-40-1EP_5x5mm_P0.4mm_EP3.4x3.4mm","C2678953"
"IS31FL3743-QF","U4","Footprints:QFN-40-1EP_5x5mm_P0.4mm_EP3.4x3.4mm","C2678953"
"IS31FL3743-QF","U5","Footprints:QFN-40-1EP_5x5mm_P0.4mm_EP3.4x3.4mm","C2678953"
"IS31FL3743-QF","U6","Footprints:QFN-40-1EP_5x5mm_P0.4mm_EP3.4x3.4mm","C2678953"
"TCA9548ARGER","U7","Package_DFN_QFN:Texas_RGE0024C_EP2.1x2.1mm","C555456"
